TimeStamp,NbrPulseA,NbrPulseB,NbrPulseC,NbrPulseD,NbrCoincidencePulseAB,NbrCoincidencePulseAC,NbrCoincidencePulseDB,NbrCoincidencePulseDC,NbrCoincidencePulseABC
2025-03-13T10:47:56.132098,57372,65449,82788,37,2394,2348,0,0,83
2025-03-13T10:47:56.210204,57707,65614,83526,40,2341,2351,1,1,76
2025-03-13T10:47:56.319554,57820,65119,82507,42,2399,2402,1,1,75
2025-03-13T10:47:56.413283,57589,65778,82872,34,2389,2387,1,1,82
2025-03-13T10:47:56.507010,57386,65773,82572,41,2361,2342,1,1,74
2025-03-13T10:47:56.600738,57414,65599,82875,56,2452,2337,2,0,89
2025-03-13T10:47:56.722137,57646,65487,82692,52,2395,2339,3,1,65
2025-03-13T10:47:56.816062,57383,65406,82522,34,2458,2358,0,0,99
2025-03-13T10:47:56.916138,57203,65387,83313,52,2324,2242,0,0,79
2025-03-13T10:47:57.009866,57306,65701,82547,43,2387,2384,3,0,85
2025-03-13T10:47:57.120619,57602,65645,83032,46,2423,2272,1,0,65
2025-03-13T10:47:57.214347,57276,65851,82888,46,2381,2282,2,0,86
2025-03-13T10:47:57.308074,57421,65277,82930,41,2414,2267,0,4,80
2025-03-13T10:47:57.401802,57348,65454,83102,41,2377,2350,0,2,78
2025-03-13T10:47:57.511154,57112,65599,82763,33,2475,2296,2,2,76
2025-03-13T10:47:57.620503,57292,65534,82525,32,2363,2234,2,0,70
2025-03-13T10:47:57.714528,57125,65225,82719,37,2342,2291,1,1,71
2025-03-13T10:47:57.809060,57552,65374,82707,44,2369,2278,1,1,84
2025-03-13T10:47:57.915310,57453,65209,82790,50,2332,2333,1,1,80
2025-03-13T10:47:58.009035,57663,65120,82882,51,2335,2283,0,1,65
2025-03-13T10:47:58.102765,57410,65008,82553,44,2431,2327,0,1,89
2025-03-13T10:47:58.212123,57714,130462,82572,41,2350,2299,2,0,95
2025-03-13T10:47:58.321461,57409,65414,82605,42,2411,2268,2,0,80
2025-03-13T10:47:58.415190,57636,65827,83542,52,2408,2285,3,0,99
2025-03-13T10:47:58.509136,114925,65223,82525,36,2374,2295,1,0,83
2025-03-13T10:47:58.606656,57590,65368,82883,44,2366,2274,1,2,79
2025-03-13T10:47:58.709400,57121,64873,82385,44,2347,2268,1,0,85
2025-03-13T10:47:58.813652,57398,65922,82690,35,2449,2353,1,0,76
2025-03-13T10:47:58.907385,57338,65773,82482,43,2374,2323,0,0,78
2025-03-13T10:47:59.001120,57164,65348,82409,35,2394,2243,0,0,73
2025-03-13T10:47:59.110461,57191,65305,82729,48,2389,2320,0,0,92
2025-03-13T10:47:59.219811,57113,65108,82535,49,2346,2340,0,0,69
2025-03-13T10:47:59.313534,57491,65396,82386,39,2368,2337,0,1,74
2025-03-13T10:47:59.412249,57234,65138,82553,50,2394,2259,1,1,67
2025-03-13T10:47:59.521599,57041,65175,165296,41,2368,2305,1,0,81
2025-03-13T10:47:59.621355,57190,65316,82301,52,2372,2260,4,0,67
2025-03-13T10:47:59.715065,57247,65192,82745,38,2375,2337,1,1,87
2025-03-13T10:47:59.808793,57310,65040,82342,47,2334,2324,4,1,83
2025-03-13T10:47:59.918141,56896,65102,82598,39,2445,2284,1,0,89
2025-03-13T10:48:00.011870,57372,65179,82387,33,2443,2249,1,0,78
2025-03-13T10:48:00.105599,57309,64813,82781,40,2453,2352,1,0,79
2025-03-13T10:48:00.214952,57301,65269,82684,56,2446,2302,0,0,101
2025-03-13T10:48:00.312227,57199,65018,82468,40,2436,2398,0,0,74
2025-03-13T10:48:00.405960,57134,65084,82403,55,2413,2297,0,1,75
2025-03-13T10:48:00.505201,57532,65207,82479,55,2435,2284,2,3,87
2025-03-13T10:48:00.598928,57320,64757,82719,49,2484,2329,1,1,61
2025-03-13T10:48:00.723900,57208,64906,82516,37,2554,2235,3,0,90
2025-03-13T10:48:00.817638,56938,64720,83318,39,2555,2345,0,0,93
2025-03-13T10:48:00.911360,57238,64853,82453,44,2499,2289,2,0,88
2025-03-13T10:48:01.005097,57556,64820,82360,37,2471,2355,1,0,95
2025-03-13T10:48:01.117994,57223,64482,82346,57,2526,2369,0,0,69
2025-03-13T10:48:01.208108,57575,64706,82285,40,2563,2318,0,3,84
2025-03-13T10:48:01.301836,56906,64706,82578,47,2484,2232,1,0,80
2025-03-13T10:48:01.424207,57136,65136,82220,54,2469,2335,1,0,100
2025-03-13T10:48:01.517966,57043,64775,82441,41,2468,2301,1,3,72
2025-03-13T10:48:01.611664,57242,65527,82640,40,2430,2325,2,1,79
2025-03-13T10:48:01.705389,57377,65355,82239,55,2537,2328,2,1,90
2025-03-13T10:48:01.814741,57177,64467,82988,43,2549,2264,1,1,87
2025-03-13T10:48:01.922340,56778,64800,82247,52,2540,2237,4,1,85
2025-03-13T10:48:02.008960,57287,64602,82274,46,2416,2338,1,1,104
2025-03-13T10:48:02.102688,57331,65084,82640,46,2498,2274,1,1,80
2025-03-13T10:48:02.223059,57656,65437,82248,35,2380,2317,0,0,87
2025-03-13T10:48:02.316793,57321,65825,83127,40,2389,2248,3,0,88
2025-03-13T10:48:02.410513,57490,65605,82931,49,2500,2344,2,0,70
2025-03-13T10:48:02.504240,57611,65750,83039,40,2404,2364,1,0,85
2025-03-13T10:48:02.613589,57470,65654,82817,43,2464,2343,3,1,83
2025-03-13T10:48:02.723174,57478,65230,81650,45,2504,2303,1,1,89
2025-03-13T10:48:02.813866,56446,64767,81203,40,2380,2225,1,1,79
2025-03-13T10:48:02.907594,55988,63671,80971,40,2368,2130,0,2,86
2025-03-13T10:48:03.020991,55157,62317,79075,56,2316,2086,0,1,71
2025-03-13T10:48:03.114719,53800,61316,76999,54,2191,1994,0,2,76
2025-03-13T10:48:03.208448,52361,59707,75634,50,2114,1949,2,0,69
2025-03-13T10:48:03.302176,51597,59123,73747,44,2098,1813,1,0,63
2025-03-13T10:48:03.427149,51503,58865,74578,40,2078,1898,1,1,69
2025-03-13T10:48:03.520876,52407,59849,75570,52,2114,1962,1,1,62
2025-03-13T10:48:03.614602,53835,61620,77630,60,2147,2078,3,0,66
2025-03-13T10:48:03.705856,55349,63008,80169,53,2258,2151,3,0,67
2025-03-13T10:48:03.815212,56364,64217,81258,54,2358,2198,3,2,80
2025-03-13T10:48:03.919462,57361,65627,83014,35,2487,2323,1,1,80
